?s	?nap_id	?class	?napralert_code	?name	?eq	?comment	?partof	?subclasses
<https://www.napralert.org/data/animal/147>	147	<http://www.w3.org/2002/07/owl#Class>	CW	CROCODYLUS NILOTICUS				NCBITaxon_8501
<https://www.napralert.org/data/animal/27>	27	<http://www.w3.org/2002/07/owl#Class>	PU	ORYZIAS LATIPES	<https://www.napralert.org/data/animal/78>			NCBITaxon_8090
<https://www.napralert.org/data/animal/152>	152	<http://www.w3.org/2002/07/owl#Class>	DD	OPOSSUM				NCBITaxon_9265
<https://www.napralert.org/data/animal/254>	254	<http://www.w3.org/2002/07/owl#Class>	MR	MONKEY(RHESUS)				NCBITaxon_9544
<https://www.napralert.org/data/animal/21>	21	<http://www.w3.org/2002/07/owl#Class>	PM	MOUSE(PREGNANT)				UBERON_0009097|NCBITaxon_10088
<https://www.napralert.org/data/animal/16>	16	<http://www.w3.org/2002/07/owl#Class>	PG	PIGEON				NCBITaxon_8930
<https://www.napralert.org/data/animal/138>	138	<http://www.w3.org/2002/07/owl#Class>	CM	CAPON				PATO_0002367|NCBITaxon_9031
<https://www.napralert.org/data/animal/178>	178	<http://www.w3.org/2002/07/owl#Class>	GC	GUINEA PIG(CASTRATE)				NCBITaxon_10141|PATO_0002367
<https://www.napralert.org/data/animal/200>	200	<http://www.w3.org/2002/07/owl#Class>	HO	HORSE				NCBITaxon_1114792
<https://www.napralert.org/data/animal/189>	189	<http://www.w3.org/2002/07/owl#Class>	GT	GOAT				NCBITaxon_9923
<https://www.napralert.org/data/animal/153>	153	<http://www.w3.org/2002/07/owl#Class>	DE	DEER				NCBITaxon_9850
<https://www.napralert.org/data/animal/228>	228	<http://www.w3.org/2002/07/owl#Class>	LX	CHIRONOMUS THUMMI				NCBITaxon_315576
<https://www.napralert.org/data/animal/101>	101	<http://www.w3.org/2002/07/owl#Class>	AS	ARTEMIA SALINA				NCBITaxon_85549
<https://www.napralert.org/data/animal/95>	95	<http://www.w3.org/2002/07/owl#Class>	AI	SAGUINUS MIDAS NIGER				NCBITaxon_30586
<https://www.napralert.org/data/animal/170>	170	<http://www.w3.org/2002/07/owl#Class>	FE	FERRET				NCBITaxon_9669
<https://www.napralert.org/data/animal/265>	265	<http://www.w3.org/2002/07/owl#Class>	NN	NEWT OVA				UBERON_0000992
<https://www.napralert.org/data/animal/249>	249	<http://www.w3.org/2002/07/owl#Class>	MM	MICROTUS MONTANUS				NCBITaxon_88450
<https://www.napralert.org/data/animal/10>	10	<http://www.w3.org/2002/07/owl#Class>	PA	PIG(PREGNANT)				UBERON_0009097|NCBITaxon_9822
<https://www.napralert.org/data/animal/140>	140	<http://www.w3.org/2002/07/owl#Class>	CO	COW				NCBITaxon_9913|PATO_0000383
<https://www.napralert.org/data/animal/127>	127	<http://www.w3.org/2002/07/owl#Class>	CA	CALF				NCBITaxon_9913|PATO_0000309
<https://www.napralert.org/data/animal/162>	162	<http://www.w3.org/2002/07/owl#Class>	E7	ELEPHANT				NCBITaxon_9780
<https://www.napralert.org/data/animal/109>	109	<http://www.w3.org/2002/07/owl#Class>	BE	BEAR				NCBITaxon_9632
<https://www.napralert.org/data/animal/155>	155	<http://www.w3.org/2002/07/owl#Class>	DG	DEGU				NCBITaxon_10158
<https://www.napralert.org/data/animal/212>	212	<http://www.w3.org/2002/07/owl#Class>	IV	ANT(LEAFCUTTER)				NCBITaxon_12956|NCBITaxon_64782
<https://www.napralert.org/data/animal/225>	225	<http://www.w3.org/2002/07/owl#Class>	LP	LAMPREY				NCBITaxon_7745
<https://www.napralert.org/data/animal/26>	26	<http://www.w3.org/2002/07/owl#Class>	PT	POTOROUS TRIDACTYLUS				NCBITaxon_9310
<https://www.napralert.org/data/animal/196>	196	<http://www.w3.org/2002/07/owl#Class>	HG	BIOMPHALARIA GLABRATA				NCBITaxon_6526
<https://www.napralert.org/data/animal/239>	239	<http://www.w3.org/2002/07/owl#Class>	MB	MONKEY(AFRICAN GREEN)	<https://www.napralert.org/data/animal/241>			NCBITaxon_9534
<https://www.napralert.org/data/animal/64>	64	<http://www.w3.org/2002/07/owl#Class>	TD	THERMOBIA DOMES		Rename to Thermobia domestica (J.B.)		NCBITaxon_89055
<https://www.napralert.org/data/animal/232>	232	<http://www.w3.org/2002/07/owl#Class>	M4	MONGOOSE				NCBITaxon_9697
<https://www.napralert.org/data/animal/176>	176	<http://www.w3.org/2002/07/owl#Class>	GA	GAMBUSIA AFFINIS				NCBITaxon_33528
<https://www.napralert.org/data/animal/255>	255	<http://www.w3.org/2002/07/owl#Class>	MS	MOUSE(PSEUDOPREGNANT)				NCBITaxon_10088|OMIT_0012496
<https://www.napralert.org/data/animal/69>	69	<http://www.w3.org/2002/07/owl#Class>	TV	URECHIS SPECIES				NCBITaxon_6430
<https://www.napralert.org/data/animal/7>	7	<http://www.w3.org/2002/07/owl#Class>	OR	RAT(OVARIECTOMIZED)				NCBITaxon_10114|PATO_0002380
<https://www.napralert.org/data/animal/75>	75	<http://www.w3.org/2002/07/owl#Class>	ZA	BRACHYDANIO RERIO				NCBITaxon_7955
<https://www.napralert.org/data/animal/213>	213	<http://www.w3.org/2002/07/owl#Class>	JQ	QUAIL(JAPANESE)				NCBITaxon_93934
<https://www.napralert.org/data/animal/173>	173	<http://www.w3.org/2002/07/owl#Class>	FL	FLOUNDER				NCBITaxon_30942
